X,Y,objectid,powerplant,unit,country,latitude,longitude,grosspower,netpowerin,type,reactorsup,reactormod,status,dateconstr,dateofcomm,dateofclos,operationa,owner,operators,imagesourc,link
108.558333330341,21.6708333299204,718,Fangchenggang,Fangchenggang  3,China,21.670833,108.558333,1150,1080,Pressurized Water Reactor, ,HPR-1000,Under construction,"Friday, December 24, 2015","Saturday, July 14, 1905", , , ,Guangxi Fangchenggang Nuclear Power Group, ,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant
112.261111110428,21.7083333300386,719,Yangjiang,Yangjiang 1,China,21.708333,112.261111,1086,1000,Pressurized Water Reactor, ,CPR-1000,Operational,"Wednesday, December 16, 2008","Wednesday, March 25, 2014", , ,Guangdong Nuclear Power Joint Venture Company ,Yangjiang Nuclear Power Company,https://upload.wikimedia.org/wikipedia/commons/8/80/Yangjiang_NPP_2009-1.jpg,https://en.wikipedia.org/wiki/Yangjiang_Nuclear_Power_Station
120.155000000307,26.8036111100962,720,Xiapu,Xiapu II-1,China,26.803611,120.155,1250,1100,Pressurized Water Reactor, ,CAP-1000,Planned, , , , , , , ,https://en.wikipedia.org/wiki/List_of_nuclear_reactors
121.586111000409,25.2858329996362,721,Jinshan Nuclear Power Plant,Jinshan Nuclear Power Plant 2,Taiwan,25.285833,121.586111,636,604,Boiling Water Reactor, ,BWR-4,Being decommissioned, ,15 July 1979 ,"July, 2019",July 2019 (Planned),Taipower,Taiwan Power Company,https://upload.wikimedia.org/wikipedia/commons/6/6b/Chin-shan_Nuclear_Power_Plant-canal_and_containment_building-P1020609.JPG,https://en.wikipedia.org/wiki/Jinshan_Nuclear_Power_Plant
108.900000000112,19.4607500000911,722,Changjiang ,Changjiang I-2,China,19.46075,108.9,650,610,Pressurized Water Reactor, ,CNP-600,Operational,"Monday, November 21, 2010","Saturday, August 12, 2016", , ,"China National Nuclear Corporation,China Huaneng Group",China National Nuclear Corporation, ,https://en.wikipedia.org/wiki/Changjiang_Nuclear_Power_Plant
120.283333329882,27.0444444396717,723,Ningde,Ningde 2,China,27.044444,120.283333,1080,0,Pressurized Water Reactor, ,CPR-1000,Operational,"Thursday, November 12, 2008","Monday, May 04, 2014", , ,Ningde Nuclear Power Co Ltd , , ,https://en.wikipedia.org/wiki/Ningde_Nuclear_Power_Plant
108.558333330341,21.6708333299204,724,Fangchenggang,Fangchenggang  5,China,21.670833,108.558333,1250,1117,Pressurized Water Reactor, ,HPR-1000,Planned, , , , , ,Guangxi Fangchenggang Nuclear Power Group, ,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant
108.558333330341,21.6708333299204,725,Fangchenggang,Fangchenggang 1,China,21.670833,108.558333,1080,1000,Pressurized Water Reactor, ,CPR-1000,Operational,"Saturday, July 30, 2010","Saturday, January 01, 2016", , , ,Guangxi Fangchenggang Nuclear Power Group, ,https://en.wikipedia.org/wiki/Fangchenggang_Nuclear_Power_Plant
120.283333329882,27.0444444396717,726,Ningde,Ningde 1,China,27.044444,120.283333,1080,0,Pressurized Water Reactor, ,CPR-1000,Operational,"Tuesday, February 18, 2008","Friday, April 18, 2013", , ,Ningde Nuclear Power Co Ltd , , ,https://en.wikipedia.org/wiki/Ningde_Nuclear_Power_Plant
4.75527799963658,45.4044439999228,727,Saint-Alban ,Saint-Alban 1,France,45.404444,4.755278,1381,1335,Pressurized Water Reactor,Framatome,P4 REP 1300,Operational,"Tuesday, January 29, 1979","Friday, May 01, 1986", , ,Électricité de France,Électricité de France,https://upload.wikimedia.org/wikipedia/commons/c/ce/Centrale_Nucl%C3%A9aire_de_Saint-Alban.jpg,https://en.wikipedia.org/wiki/Saint-Alban_Nuclear_Power_Plant
15.5155560000492,45.9383330000288,728,Krško Nuclear Power Plant,Krško,Slovenia,45.938333,15.515556,727,688,Pressurized Water Reactor, ,Westinghouse 212,Operational,"Monday, March 30, 1975","January 1, 1983", , , ,Nuklearna Elektrarna Krško,https://upload.wikimedia.org/wikipedia/commons/0/02/2010_floods_in_Slovenia_%2815%29.jpg,https://en.wikipedia.org/wiki/Kr%C5%A1ko_Nuclear_Power_Plant
4.71166699975322,44.1433330002348,729,Marcoule,Phénix,France,44.143333,4.711667,142,130,Fast Breeder Reactor,SACM,PH-250,Shut Down,"Saturday, November 01, 1968","Monday, July 14, 1974","Tuesday, February 01, 2010", , ,Électricité de France,https://upload.wikimedia.org/wikipedia/commons/8/8e/CEA_Marcoule_Site.jpg,https://en.wikipedia.org/wiki/Ph%C3%A9nix
